"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 15 12:04:43 MSK 2019","Thu Aug 15 12:04:43 MSK 2019","355","","","","","","Отчет.СведенияОПользователях.Форма","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:01:54 MSK 2019","Thu Aug 15 12:01:54 MSK 2019","219","","","","","","Списки : Справочник.СертификатыКлючейЭлектроннойПодписиИШифрования.Форма.ФормаВыбора","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:04:08 MSK 2019","Thu Aug 15 12:04:09 MSK 2019","456","","","","","","Отчет.Бонусы.Форма","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:09:34 MSK 2019","Thu Aug 15 12:09:34 MSK 2019","3","","","","","","РегистрНакопления.ПревышенияНоменклатуры: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:02:35 MSK 2019","Thu Aug 15 12:02:35 MSK 2019","232","","","","","","Существующие : Документ.ЕГАИС_ПередачаПродукции.Форма.ФормаДокумента","ТестДолжен_ОткрытьФормуСуществующегоЭлементаДокумента"
"passed","Thu Aug 15 12:03:53 MSK 2019","Thu Aug 15 12:03:53 MSK 2019","475","","","","","","Обработка.ПомарочнаяСверка.Форма.Форма","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:01:43 MSK 2019","Thu Aug 15 12:01:43 MSK 2019","438","","","","","","Списки : Справочник.Пользователи.Форма.ФормаСписка","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:06:34 MSK 2019","Thu Aug 15 12:06:34 MSK 2019","4","","","","","","РегистрСведений.НастройкиВариантовОтчетов: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:00:30 MSK 2019","Thu Aug 15 12:00:31 MSK 2019","375","","","","","","Новые : Справочник.Клиенты.Форма.ФормаЭлемента","ТестДолжен_ОткрытьФормуНовогоЭлементаСправочника"
"passed","Thu Aug 15 11:59:57 MSK 2019","Thu Aug 15 11:59:57 MSK 2019","265","","","","","","Новые : Справочник.Валюты.Форма.ФормаЭлемента","ТестДолжен_ОткрытьФормуНовогоЭлементаСправочника"
"passed","Thu Aug 15 12:07:23 MSK 2019","Thu Aug 15 12:07:23 MSK 2019","3","","","","","","Документ.ТТК: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:06:59 MSK 2019","Thu Aug 15 12:06:59 MSK 2019","5","","","","","","РегистрСведений.СоответствиеРеквизитовРаботаСНоменклатурой: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:00:50 MSK 2019","Thu Aug 15 12:00:51 MSK 2019","203","","","","","","Списки : Справочник.Меркурий_Страны.Форма.ФормаСписка","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:09:39 MSK 2019","Thu Aug 15 12:09:39 MSK 2019","3","","","","","","Справочник.ПодарочныеСертификаты: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"broken","Thu Aug 15 12:11:35 MSK 2019","Thu Aug 15 12:11:35 MSK 2019","12","","","","","","РегистрСведений.ЗначенияГруппДоступаПоУмолчанию: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:06:08 MSK 2019","Thu Aug 15 12:06:08 MSK 2019","6","","","","","","Справочник.ПрограммыЭлектроннойПодписиИШифрования: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:00:32 MSK 2019","Thu Aug 15 12:00:32 MSK 2019","187","","","","","","Списки : Справочник.КлючиАналитикиУчетаНоменклатуры.Форма.ФормаВыбора","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:03:30 MSK 2019","Thu Aug 15 12:03:31 MSK 2019","358","","","","","","Новые : Документ.УстановкаЦенНоменклатурыПоставщика.Форма.ФормаДокумента","ТестДолжен_ОткрытьФормуНовогоДокумента"
"passed","Thu Aug 15 12:05:10 MSK 2019","Thu Aug 15 12:05:10 MSK 2019","4","","","","","","Константа.УдалитьАлгоритмПодписи: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:02:22 MSK 2019","Thu Aug 15 12:02:23 MSK 2019","334","","","","","","Существующие : Документ.ВнутренняяПродажа.Форма.ФормаДокумента","ТестДолжен_ОткрытьФормуСуществующегоЭлементаДокумента"
"passed","Thu Aug 15 12:08:13 MSK 2019","Thu Aug 15 12:08:13 MSK 2019","3","","","","","","Документ.Чек: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:11:03 MSK 2019","Thu Aug 15 12:11:03 MSK 2019","7","","","","","","РегистрСведений.СведенияОСертификатахОбменСБанками: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:02:51 MSK 2019","Thu Aug 15 12:02:51 MSK 2019","250","","","","","","Существующие : Документ.НачислениеЗаработнойПлаты.Форма.ФормаДокумента","ТестДолжен_ОткрытьФормуСуществующегоЭлементаДокумента"
"passed","Thu Aug 15 12:11:35 MSK 2019","Thu Aug 15 12:11:35 MSK 2019","3","","","","","","Константа.ДатаПоследнейВыгрузкиЗамеровПроизводительностиUTC: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:05:28 MSK 2019","Thu Aug 15 12:05:28 MSK 2019","8","","","","","","Справочник.Меркурий_ЕдиницыИзмерения: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:07:34 MSK 2019","Thu Aug 15 12:07:34 MSK 2019","4","","","","","","РегистрСведений.ЦеныНоменклатуры: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:09:37 MSK 2019","Thu Aug 15 12:09:37 MSK 2019","9","","","","","","РегистрСведений.ИндексыСПАРКРиски: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
"passed","Thu Aug 15 12:04:03 MSK 2019","Thu Aug 15 12:04:03 MSK 2019","359","","","","","","Обработка.УправлениеТСД.Форма.Форма","ТестДолжен_ОткрытьФормуПоПолномуИмениФормы"
"passed","Thu Aug 15 12:02:11 MSK 2019","Thu Aug 15 12:02:12 MSK 2019","203","","","","","","Существующие : Справочник.ШаблоныДокументовFrontol.Форма.ФормаГруппы","ТестДолжен_ОткрытьФормуСуществующегоЭлементаСправочника"
"passed","Thu Aug 15 12:05:41 MSK 2019","Thu Aug 15 12:05:41 MSK 2019","4","","","","","","Константа.КаталогСообщенийОбменаДаннымиДляWindows: Проверка доступа на Чтение Не-Администраторами","Тест_ПроверитьНеАдминистраторскиеПраваНаЧтение"
